Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
youtube.com,0.000546,0.240581,0.000440,0.241567
youtube.com,0.000572,0.238717,0.000436,0.239724
youtube.com,0.000569,0.243816,0.000458,0.244844
youtube.com,0.000561,0.249837,0.000457,0.250856
youtube.com,0.000580,0.310474,0.000430,0.311484
youtube.com,0.000573,0.317754,0.000427,0.318754
youtube.com,0.000577,0.313954,0.000478,0.315009
youtube.com,0.000607,0.237998,0.000433,0.239039
youtube.com,0.000598,0.359225,0.000455,0.360278
youtube.com,0.000572,0.315232,0.000425,0.316229
youtube.com,0.000611,0.242695,0.000442,0.243748
youtube.com,0.000609,0.241490,0.000433,0.242532
youtube.com,0.000605,0.318669,0.000476,0.319750
youtube.com,0.000602,0.239248,0.000432,0.240282
facebook.com,0.000545,0.313950,0.000585,0.315079
facebook.com,0.000659,0.360170,0.000440,0.361270
facebook.com,0.000566,0.346769,0.000381,0.347716
facebook.com,0.000565,0.391525,0.000434,0.392524
facebook.com,0.000609,0.339958,0.000447,0.341014
facebook.com,0.000561,0.438701,0.000458,0.439720
facebook.com,0.000564,0.402318,0.000428,0.403310
facebook.com,0.000597,0.339326,0.000484,0.340406
facebook.com,0.000612,0.354637,0.000483,0.355732
facebook.com,0.000611,0.374440,0.000450,0.375501
facebook.com,0.000556,0.370701,0.000449,0.371705
facebook.com,0.000614,0.458043,0.000417,0.459073
facebook.com,0.000605,0.339190,0.000448,0.340244
facebook.com,0.000561,0.462868,0.000493,0.463923
facebook.com,0.000602,0.317169,0.000422,0.318193
facebook.com,0.000561,0.360355,0.000422,0.361339
facebook.com,0.000600,0.259002,0.000420,0.260021
facebook.com,0.000568,0.438994,0.000457,0.440019
facebook.com,0.000606,0.235250,0.000422,0.236278
facebook.com,0.000556,0.328388,0.000492,0.329436
facebook.com,0.000606,0.332883,0.000419,0.333908
facebook.com,0.000577,0.351340,0.000450,0.352366
facebook.com,0.000557,0.237573,0.000428,0.238558
facebook.com,0.000454,0.319628,0.000419,0.320501
facebook.com,0.000476,0.386958,0.000429,0.387863
facebook.com,0.000547,0.332732,0.000382,0.333661
facebook.com,0.000525,0.311854,0.000424,0.312803
facebook.com,0.000612,0.243445,0.000487,0.244545
facebook.com,0.000607,0.317346,0.000442,0.318395
facebook.com,0.000557,0.342906,0.000454,0.343917
facebook.com,0.000591,0.320354,0.000426,0.321371
facebook.com,0.000561,0.339704,0.000428,0.340693
facebook.com,0.000567,0.250684,0.000427,0.251678
facebook.com,0.000570,0.230988,0.000471,0.232029
facebook.com,0.000522,0.308864,0.000467,0.309852
facebook.com,0.000608,0.242321,0.000420,0.243350
facebook.com,0.000560,0.376107,0.000430,0.377097
facebook.com,0.000590,0.239700,0.000475,0.240765
facebook.com,0.000603,0.239292,0.000482,0.240377
facebook.com,0.000562,0.228846,0.000447,0.229855
facebook.com,0.000566,0.319212,0.000472,0.320250
facebook.com,0.000609,0.311504,0.000394,0.312507
facebook.com,0.000610,0.325123,0.000381,0.326114
facebook.com,0.000606,0.341580,0.000430,0.342616
facebook.com,0.000605,0.242576,0.000425,0.243606
facebook.com,0.000490,0.318317,0.000436,0.319243
facebook.com,0.000556,0.246407,0.000432,0.247395
facebook.com,0.000616,0.329110,0.000426,0.330152
facebook.com,0.000454,0.373093,0.000438,0.373985
facebook.com,0.000460,0.244802,0.000401,0.245663
facebook.com,0.000568,0.240842,0.000431,0.241841
facebook.com,0.000563,0.351047,0.000483,0.352092
facebook.com,0.000598,0.242277,0.000398,0.243273
facebook.com,0.000530,0.236181,0.000483,0.237194
facebook.com,0.000555,0.226467,0.000447,0.227470
facebook.com,0.000569,0.274243,0.000430,0.275241
facebook.com,0.000493,0.328190,0.000419,0.329102
facebook.com,0.000567,0.360887,0.000447,0.361901
facebook.com,0.000564,0.315611,0.000430,0.316605
facebook.com,0.000504,0.420026,0.000426,0.420955
facebook.com,0.000560,0.245864,0.000451,0.246875
facebook.com,0.000583,0.327157,0.000430,0.328170
facebook.com,0.000610,0.423226,0.000396,0.424233
facebook.com,0.000572,0.239948,0.000486,0.241006
facebook.com,0.000593,0.241882,0.000431,0.242907
facebook.com,0.000598,0.243264,0.000453,0.244315
facebook.com,0.000588,0.337341,0.000433,0.338361
